ASN,City,Longitude,Latitude
8452,Bani Suwayf,31.0978,29.0744
15399,Nairobi,36.8155,-1.2841
8452,Cairo,31.2852,30.0778
8452,Giza,31.2194,30.008
8452,Zagazig,31.5029,30.5873
15399,Dar es Salaam,39.2847,-6.7963
36937,Nelspruit,30.9638,-25.4628
36937,Johannesburg,28.0583,-26.2309
30844,Pretoria,28.1443,-25.757
30844,Mokopane,29.0167,-24.1833
37358,Pretoria,30.1443,-23.757
328036,Trichardt,29.1689,-26.5427
37611,Cape Town,18.4155,-33.9165
37611,Durban,31.0449,-29.8556
37611,Johannesburg,30.0583,-24.2309
37611,Pretoria,30.1443,-23.757
5713,Virginia,26.9,-28.1167
37100,Cape Town,18.4259,-33.9258
37100,Dar es Salaam,41.2847,-4.7963
5713,George,22.4497,-33.9694
37662,Trichardt,31.1689,-24.5427
37100,Johannesburg,30.0583,-24.2309
2905,Johannesburg,30.0583,-24.2309
37457,Pretoria,30.1443,-23.757
10474,Cape Town,20.4259,-31.925800000000002
5713,Stellenbosch,18.85,-33.9333
36903,Casablanca,-7.6184,33.5922
6713,Meknes,-5.5396,33.8916
6713,Kenitra,-6.5821,34.2619
36903,Safi,-9.2372,32.2994
36903,Rabat,-6.8484,34.0123
36903,Salé,-6.8175,34.0347
36903,Marrakesh,-8.0101,31.6298
36903,Saidia,-2.2368,35.091
174,Marchena,-5.4168,37.329
37100,Mombasa,39.6667,-4.05
37061,Nairobi,38.8155,0.7159
4809,Nairobi,38.8155,0.7159
37100,Marseille,5.3718,43.2832
327782,Johannesburg,30.0583,-24.2309
8452,Al Mansurah,31.3844,31.0371
3356,Colombes,2.2483,48.9065
7018,Eastpointe,-82.9459,42.4658
37693,Sfax,10.7648,34.741
3356,Prague,14.5148,50.0766
37468,Luanda,13.2353,-8.8385
11259,Cabinda,12.2027,-5.5472
44356,London,-0.0961,51.5132
37076,Lagos,3.3903,6.4474
37282,Lagos,5.3903,8.4474
24835,Alexandria,29.9529,31.2162
