ASN,City,Longitude,Latitude
8452,Bani Suwayf,42.89038410391798,36.228635195857095
15399,Nairobi,92.14224033147019,-18.59417099815548
8452,Cairo,41.88058588275177,74.9639841035541
8452,Giza,41.906747290516655,56.10550306147485
8452,Zagazig,41.4772273550394,66.0153491232188
15399,Dar es Salaam,100.65961005133026,-36.49757410866966
36937,Nelspruit,132.7850026724678,-53.64296133504929
36937,Johannesburg,136.33005735621455,-70.9336241196396
30844,Pretoria,135.6484503243652,-55.03729035537921
30844,Mokopane,132.7931854950035,-53.64718161300189
37358,Pretoria,135.64845032436517,-76.87977944767887
328036,Trichardt,135.70399740420356,-35.59286941060478
37611,Cape Town,154.83468925545793,-69.7817689585184
37611,Durban,138.0616694796178,-74.95099368669615
37611,Johannesburg,136.33005735621455,-85.06156718719343
37611,Pretoria,135.6484503243652,-55.03729035537921
5713,Virginia,139.74404823133122,-37.349618897244575
37100,Cape Town,154.83040048280301,-79.56580612678607
37100,Dar es Salaam,100.65961005133026,-74.87395556579119
5713,George,150.4553673855281,-41.02235068842805
37662,Trichardt,135.70399740420356,-35.59286941060478
37100,Johannesburg,136.33005735621455,-85.06156718719343
2905,Johannesburg,136.33005735621455,-55.3459139146088
37457,Pretoria,135.6484503243652,-35.567197103754275
10474,Cape Town,154.83040048280301,-83.69491918174799
5713,Stellenbosch,154.34930778062923,-42.03307578752233
36903,Casablanca,-11.287889285780793,71.22666597122141
6713,Meknes,-8.177580419252495,86.78757318636926
6713,Kenitra,-9.552063008576145,83.57140810720536
36903,Safi,-14.24779523039275,44.10511025073938
36903,Rabat,-10.020880516080696,63.0810010252549
36903,Salé,-9.96854790416191,44.564219567207495
36903,Marrakesh,-12.748132972650291,44.285040124290035
36903,Saidia,-3.1796306226122204,44.955863937261114
174,Marchena,-7.056630892644942,44.78217435444995
37100,Mombasa,96.32948898043728,-12.434289480245136
37061,Nairobi,92.14224033147019,-4.275528745147304
4809,Nairobi,92.14224033147019,-2.1407445287427134
37100,Marseille,5.67676453325149,81.83036880164592
327782,Johannesburg,136.33005735621452,-89.0457367176146
8452,Al Mansurah,40.87451659645539,56.52536174727338
3356,Colombes,1.95960036030302,63.42153961038518
7018,Eastpointe,-47.31730926530612,34.13482200150804
37693,Sfax,15.073758116070644,43.99712604425186
3356,Prague,11.845140260224285,44.38342999686661
37468,Luanda,124.18315251993624,-29.329026114886926
11259,Cabinda,114.67780509456867,-22.66127352534843
44356,London,-0.0764051689611269,85.2363540932174
37076,Lagos,27.623646574098323,77.27978488755191
37282,Lagos,27.623646574098323,85.39089479371897
24835,Alexandria,39.48499106609607,57.06307282089929
