"#Data format: Vertex ASN and City, Connections"
"[36907, 'Luanda']","[37468, 'Luanda']"
"[37468, 'Luanda']","[30844, 'Mokopane']","[30844, 'Harare']","[30844, 'Bela-Bela']"
"[30844, 'Mokopane']","[30844, 'Bela-Bela']"
"[15399, 'Dar es Salaam']","[15399, 'Nairobi']","[36926, 'Nairobi']"
"[15399, 'Nairobi']","[37100, 'Dar es Salaam']"
"[37100, 'Dar es Salaam']","[37100, 'Nairobi']","[37100, 'Johannesburg']","[37100, 'Marseille']"
"[36903, 'Casablanca']","[6713, 'Meknes']"
"[6713, 'Meknes']","[6713, 'Kenitra']"
"[36903, 'Marrakesh']","[6713, 'Meknes']"
"[36903, 'Rabat']","[6713, 'Meknes']"
"[36903, 'Tangier']","[6713, 'Meknes']"
"[8452, 'Suez']","[3356, 'Prague']"
"[3356, 'Prague']","[3356, 'Surbiton']","[36994, 'Durban']"
"[3356, 'Surbiton']","[2905, 'Germiston']"
"[3356, 'Hassocks']","[3356, 'Barcelona']"
"[3356, 'Barcelona']","[3356, 'Surbiton']"
"[6713, 'Kenitra']","[174, 'Marchena']","[174, 'Opera']","[327693, 'Cape Town']"
"[174, 'Opera']","[327693, 'Cape Town']"
"[174, 'Marchena']","[327693, 'Cape Town']","[174, 'Islington']","[60171, 'London']"
"[36903, 'Beni Mellal']","[6713, 'Meknes']"
"[8452, 'Cairo']","[327903, 'Freetown']"
"[327903, 'Freetown']","[37164, 'Freetown']"
"[37100, 'Johannesburg']","[5713, 'Hotazel']"
"[5713, 'Hotazel']","[5713, 'Stellenbosch']"
"[5713, 'Stellenbosch']","[327693, 'Cape Town']","[37100, 'Johannesburg']"
"[327693, 'Cape Town']","[37611, 'Cape Town']"
"[37611, 'Cape Town']","[37611, 'Durban']"
"[37611, 'Durban']","[37611, 'Johannesburg']"
"[37611, 'Pretoria']","[37611, 'Johannesburg']"
"[30844, 'Bela-Bela']","[36926, 'Nairobi']","[37006, 'Kigali']"
"[36926, 'Nairobi']","[37075, 'Kampala']"
"[6713, 'Tangier']","[6713, 'Meknes']"
"[36903, 'Temara']","[6713, 'Meknes']"
"[36903, 'El Hajeb']","[6713, 'Meknes']"
"[37100, 'Marseille']","[3356, 'Prague']"
"[3356, 'South Ockendon']","[36994, 'Durban']"
"[174, 'Islington']","[60171, 'London']","[327903, 'Freetown']"
"[60171, 'London']","[327903, 'Freetown']"
"[36903, 'Agadir']","[6713, 'Meknes']"
"[24835, 'Cairo']","[8452, 'Bani Suwayf']"
"[37705, 'Tunis']","[37006, 'Kigali']"
"[37693, 'Kasserine']","[37006, 'Kigali']"
"[37611, 'Randburg']","[37611, 'Johannesburg']"
"[37611, 'Johannesburg']","[5713, 'Kokstad']","[5713, 'Stellenbosch']"
"[5713, 'Kokstad']","[37100, 'Johannesburg']"
"[37457, 'Cape Town']","[37100, 'Johannesburg']"
"[10474, 'Cape Town']","[37100, 'Johannesburg']"
"[37266, 'Cape Town']","[37179, 'Johannesburg']"
"[37179, 'Johannesburg']","[37100, 'Johannesburg']"
"[37457, 'Pretoria']","[37100, 'Johannesburg']","[5713, 'Springbok']"
"[37596, 'Johannesburg']","[328471, 'Lephalale']"
"[328471, 'Lephalale']","[37100, 'Johannesburg']"
"[327693, 'Benoni']","[5713, 'Graaff Reinet']"
"[5713, 'Graaff Reinet']","[37100, 'Johannesburg']"
"[328366, 'Johannesburg']","[328366, 'Durban']"
"[328366, 'Durban']","[328366, 'Cape Town']"
"[36947, 'Taoura']","[19711, 'Mbabane']"
"[36947, 'Saida']","[19711, 'Mbabane']"
"[36947, 'Algiers']","[19711, 'Mbabane']"
"[36947, 'Mostaganem']","[19711, 'Mbabane']"
"[36947, 'Béjaïa']","[19711, 'Mbabane']"
"[36947, 'Tiaret']","[19711, 'Mbabane']"
"[36947, 'Constantine']","[19711, 'Mbabane']"
