[36907,Luanda]: 13.235299999999997 -8.838499999999998
[37468,Luanda]: 13.2353 -8.838499999999998
[30844,Mokopane]: 29.0167 -24.1833
[30844,Bela-Bela]: 28.280600000000003 -24.8787
[15399,Dar es Salaam]: 39.2847 -6.7963
[15399,Nairobi]: 36.8155 -1.2841
[37100,Dar es Salaam]: 39.2847 -6.7963
[37100,Nairobi]: 36.8155 -1.2841
[30844,Harare]: 31.0478 -17.815
[36903,Casablanca]: -7.618399999999999 33.5922
[6713,Meknes]: -5.539600000000005 33.891599999999976
[6713,Kenitra]: -6.582099999999998 34.261899999999976
[36903,Marrakesh]: -8.0101 31.6298
[36903,Rabat]: -6.848399999999999 34.0123
[36903,Tangier]: -5.8176 35.7808
[8452,Suez]: 32.5263 29.9737
[3356,Prague]: 14.5148 50.076600000000006
[3356,Surbiton]: -0.2945 51.3878
[2905,Germiston]: 28.1748 -26.2279
[3356,Hassocks]: -0.1988 50.9346
[3356,Barcelona]: 2.1611 41.3891
[174,Marchena]: -5.416800000000001 37.329
[174,Opera]: 9.2108 45.3735
[327693,Cape Town]: 18.415500000000005 -33.91649999999999
[36903,Beni Mellal]: -6.3498 32.3373
[8452,Cairo]: 31.2852 30.0778
[327903,Freetown]: -13.2342 8.49
[37164,Freetown]: -13.234199999999989 8.490000000000006
[37100,Johannesburg]: 28.0583 -26.230899999999995
[5713,Hotazel]: 22.9721 -27.2056
[5713,Stellenbosch]: 18.85 -33.9333
[37611,Cape Town]: 18.418100000000003 -33.918825
[37611,Durban]: 31.0449 -29.8556
[37611,Johannesburg]: 28.058299999999996 -26.2309
[37611,Pretoria]: 28.1443 -25.757
[36926,Nairobi]: 36.8155 -1.2841
[37075,Kampala]: 32.5657 0.3162
[6713,Tangier]: -5.8176 35.7808
[36903,Temara]: -6.9014 33.9246
[36903,El Hajeb]: -5.371 33.6879
[37100,Marseille]: 5.3718 43.2832
[36994,Durban]: 31.0191 -29.8523
[3356,South Ockendon]: 0.2517 51.4999
[37006,Kigali]: 30.066300000000005 -1.9507
[174,Islington]: -0.09799999999999999 51.532199999999996
[60171,London]: -0.0961 51.513200000000005
[36903,Agadir]: -9.5912 30.4201
[24835,Cairo]: 31.2852 30.0778
[8452,Bani Suwayf]: 31.0978 29.0744
[37705,Tunis]: 10.177799999999998 36.80489999999998
[37693,Kasserine]: 8.8341 35.1668
[37611,Randburg]: 27.9816 -26.0996
[5713,Kokstad]: 29.4208 -30.5517
[37457,Cape Town]: 18.4155 -33.9165
[10474,Cape Town]: 18.425900000000002 -33.925799999999995
[37266,Cape Town]: 18.4155 -33.9165
[37179,Johannesburg]: 28.0583 -26.2309
[37457,Pretoria]: 28.1443 -25.757
[37596,Johannesburg]: 28.0583 -26.2309
[328471,Lephalale]: 27.7333 -23.6667
[327693,Benoni]: 28.3167 -26.1833
[5713,Graaff Reinet]: 24.55 -32.25
[5713,Springbok]: 17.8776 -29.6646
[328366,Johannesburg]: 28.0583 -26.2309
[328366,Durban]: 31.0191 -29.8523
[328366,Cape Town]: 18.4155 -33.9165
[36947,Taoura]: 8.0447 36.1694
[19711,Mbabane]: 31.133299999999974 -26.316699999999962
[36947,Saida]: 0.15 34.8333
[36947,Algiers]: 3.0601000000000003 36.755575
[36947,Mostaganem]: 0.0903 35.9333
[36947,Béjaïa]: 5.0838 36.7462
[36947,Tiaret]: 1.3131000000000002 35.3758
[36947,Constantine]: 6.6119 36.3617
