IP,Set_Num,Longitude,Latitude
149.6.155.69,0,9.2108,45.3735
197.155.90.221,1,38.0,1.0
149.11.18.165,2,-5.4168,37.329
193.95.96.4,3,9.0,34.0
5.11.9.125,4,-0.1224,51.4964
81.192.12.30,5,-6.5821,34.2619
41.140.16.1,6,-6.8484,34.0123
41.143.0.1,7,-7.6184,33.5922
41.175.242.109,8,28.2806,-24.8787
41.251.128.1,9,-8.0101,31.6298
81.192.12.14,10,-6.5821,34.2619
81.192.12.38,11,-6.5821,34.2619
102.130.68.107,12,18.5,-12.5
193.251.128.82,13,2.3387,48.8582
197.80.7.1,14,24.0,-29.0
197.80.7.2,15,24.0,-29.0
197.155.94.61,16,57.55,-20.2833
4.69.167.114,17,-97.822,37.751
5.11.10.89,18,-0.1224,51.4964
41.60.135.94,19,29.0167,-24.1833
41.250.128.1,20,-7.6184,33.5922
41.250.224.1,21,-5.8176,35.7808
72.52.92.213,22,-97.822,37.751
77.67.95.121,23,9.491,51.2993
81.52.200.108,24,2.3387,48.8582
81.192.12.22,25,-6.5821,34.2619
81.192.65.130,26,-5.5396,33.8916
81.192.65.146,27,-5.5396,33.8916
81.192.65.162,28,-5.5396,33.8916
81.192.65.177,29,-5.5396,33.8916
81.192.65.178,30,-5.5396,33.8916
81.192.65.185,31,-5.5396,33.8916
81.192.92.46,32,-5.5396,33.8916
105.159.88.1,33,-6.8484,34.0123
105.187.234.97,34,24.0,-29.0
130.117.1.22,35,-97.822,37.751
149.6.144.162,36,-0.098,51.5322
149.11.19.73,37,-5.4168,37.329
149.14.125.9,38,-97.822,37.751
154.54.58.137,39,-97.822,37.751
154.73.104.19,40,30.0,-3.5
160.178.72.1,41,-6.3498,32.3373
176.67.178.0,42,-0.1224,51.4964
185.10.164.37,43,-0.0961,51.5132
185.35.140.34,44,-3.684,40.4172
185.35.140.145,45,-3.684,40.4172
185.35.140.165,46,-3.684,40.4172
193.95.0.14,47,9.0,34.0
193.95.0.73,48,9.0,34.0
193.95.0.91,49,9.0,34.0
193.95.96.6,50,9.0,34.0
193.251.150.123,51,2.3387,48.8582
195.22.197.12,52,12.1097,43.1479
196.25.146.36,53,22.9721,-27.2056
196.25.153.41,54,29.4208,-30.5517
196.44.29.140,55,24.0,-29.0
196.64.8.1,56,-7.6184,33.5922
196.203.188.133,57,9.0,34.0
197.80.5.9,58,24.0,-29.0
197.84.4.34,59,18.4259,-33.9258
197.155.94.8,60,57.55,-20.2833
197.215.100.161,61,-13.2342,8.49
102.130.68.104,-1,18.5,-12.5
102.130.68.107,-1,18.5,-12.5
102.130.68.111,-1,18.5,-12.5
102.130.68.138,-1,18.5,-12.5
102.182.0.125,-1,18.4259,-33.9258
102.182.72.1,-1,18.4155,-33.9165
102.22.160.1,-1,30.0,-2.0
102.41.128.1,-1,31.2852,30.0778
102.66.248.8,-1,27.7333,-23.6667
102.67.176.75,-1,24.0,-29.0
102.67.177.7,-1,28.3167,-26.1833
105.103.0.1,-1,5.0838,36.7462
105.110.0.1,-1,6.6119,36.3617
105.155.16.1,-1,-5.8176,35.7808
105.157.48.1,-1,-7.6184,33.5922
105.158.104.1,-1,-8.0101,31.6298
105.159.72.1,-1,-5.8176,35.7808
105.159.88.1,-1,-6.8484,34.0123
105.16.0.10,-1,57.55,-20.2833
105.16.0.100,-1,57.55,-20.2833
105.16.10.182,-1,57.55,-20.2833
105.16.10.186,-1,57.55,-20.2833
105.16.10.213,-1,57.55,-20.2833
105.16.11.125,-1,57.55,-20.2833
105.16.12.121,-1,57.55,-20.2833
105.16.12.137,-1,57.55,-20.2833
105.16.13.1,-1,57.55,-20.2833
105.16.13.114,-1,57.55,-20.2833
105.16.13.193,-1,57.55,-20.2833
105.16.13.77,-1,57.55,-20.2833
105.16.19.9,-1,36.8155,-1.2841
105.16.22.1,-1,39.2847,-6.7963
105.16.22.2,-1,39.2847,-6.7963
105.16.28.10,-1,28.0583,-26.2309
105.16.29.10,-1,28.0583,-26.2309
105.16.29.8,-1,28.0583,-26.2309
105.16.32.254,-1,5.3718,43.2832
105.16.8.189,-1,57.55,-20.2833
105.16.8.225,-1,57.55,-20.2833
105.16.8.25,-1,57.55,-20.2833
105.16.8.42,-1,57.55,-20.2833
105.187.234.97,-1,24.0,-29.0
105.187.235.149,-1,24.0,-29.0
105.187.235.150,-1,24.0,-29.0
105.187.235.17,-1,24.0,-29.0
105.187.235.18,-1,24.0,-29.0
105.187.235.61,-1,24.0,-29.0
105.21.160.89,-1,39.2847,-6.7963
105.224.0.13,-1,18.4155,-33.9165
105.229.0.13,-1,28.1443,-25.757
105.97.0.1,-1,3.0506,36.7631
105.98.0.1,-1,3.1468,36.7642
129.250.8.206,-1,-97.822,37.751
130.117.1.22,-1,-97.822,37.751
130.117.1.98,-1,-97.822,37.751
130.117.49.146,-1,-97.822,37.751
130.117.50.165,-1,-97.822,37.751
149.11.18.165,-1,-5.4168,37.329
149.11.18.225,-1,-5.4168,37.329
149.11.19.109,-1,-5.4168,37.329
149.11.19.169,-1,-5.4168,37.329
149.11.19.225,-1,-5.4168,37.329
149.11.19.73,-1,-5.4168,37.329
149.11.19.89,-1,-5.4168,37.329
149.14.125.37,-1,-97.822,37.751
149.14.125.73,-1,-97.822,37.751
149.14.125.81,-1,-97.822,37.751
149.14.125.9,-1,-97.822,37.751
149.14.125.97,-1,-97.822,37.751
149.14.126.226,-1,-97.822,37.751
149.14.127.1,-1,-97.822,37.751
149.6.144.162,-1,-0.098,51.5322
149.6.151.33,-1,-8.0341,43.4635
149.6.155.65,-1,9.2108,45.3735
149.6.155.69,-1,9.2108,45.3735
154.109.128.0,-1,8.8341,35.1668
154.14.64.30,-1,8.1551,47.1449
154.183.192.1,-1,31.5029,30.5873
154.54.38.170,-1,-97.822,37.751
154.54.38.173,-1,-97.822,37.751
154.54.56.173,-1,-97.822,37.751
154.54.57.205,-1,-97.822,37.751
154.54.58.137,-1,-97.822,37.751
154.54.59.13,-1,-97.822,37.751
154.54.61.106,-1,-97.822,37.751
154.54.61.133,-1,-97.822,37.751
154.54.61.42,-1,-97.822,37.751
154.68.177.1,-1,28.0583,-26.2309
154.73.104.162,-1,30.0,-3.5
154.73.104.19,-1,30.0,-3.5
154.73.184.76,-1,18.4155,-33.9165
155.12.0.202,-1,39.291,-6.8227
155.12.0.242,-1,39.291,-6.8227
156.199.0.1,-1,31.3844,31.0371
156.208.0.1,-1,31.2194,30.008
160.178.72.1,-1,-6.3498,32.3373
160.179.8.1,-1,-9.5912,30.4201
165.165.235.173,-1,17.8776,-29.6646
165.73.14.113,-1,28.1443,-25.757
165.73.61.129,-1,27.9816,-26.0996
169.1.2.121,-1,31.0449,-29.8556
169.1.21.131,-1,28.0583,-26.2309
169.1.21.132,-1,28.0583,-26.2309
169.1.21.133,-1,28.0583,-26.2309
169.1.21.147,-1,28.0583,-26.2309
