Source_IP,Target_IP
196.202.252.59,102.130.68.111
102.130.68.111,102.130.68.138
102.130.68.138,196.10.140.215
196.10.140.215,41.60.135.94
41.60.135.94,41.175.242.16
41.175.242.16,41.175.159.11
41.175.159.11,46.17.233.10
46.17.233.10,196.44.184.134
196.44.184.134,196.29.37.134
196.29.37.134,196.2.64.125
41.212.66.1,41.212.2.42
41.212.2.42,105.16.12.137
105.16.12.137,105.16.13.1
105.16.13.1,105.16.19.9
105.16.19.9,105.16.13.77
105.16.13.77,105.16.8.25
105.16.8.25,105.16.8.42
105.16.8.42,105.16.0.10
196.202.252.59,102.130.68.104
102.130.68.104,102.130.68.107
102.130.68.107,102.130.68.138
102.130.68.138,196.10.140.215
196.10.140.215,217.15.112.20
41.226.16.230,193.95.96.100
193.95.96.100,193.95.0.14
193.95.0.14,193.95.1.155
193.95.1.155,195.22.197.50
195.22.197.50,195.22.210.96
195.22.210.96,213.144.173.171
213.144.173.171,185.35.140.35
185.35.140.35,185.35.140.75
41.226.16.231,193.95.96.102
193.95.96.102,193.95.0.16
193.95.0.16,193.95.1.155
193.95.1.155,195.22.197.50
195.22.197.50,195.22.210.96
195.22.210.96,213.144.173.171
213.144.173.171,185.35.140.35
185.35.140.35,185.35.140.75
41.226.21.227,193.95.96.98
193.95.96.98,193.95.0.150
193.95.0.150,193.95.1.223
193.95.1.223,195.22.197.50
195.22.197.50,195.22.210.222
195.22.210.222,213.144.173.171
213.144.173.171,185.35.142.32
185.35.142.32,185.35.140.30
185.35.140.30,185.35.140.145
41.226.22.8,193.95.96.108
193.95.96.108,193.95.0.91
193.95.0.91,193.95.1.159
193.95.1.159,195.22.197.50
195.22.197.50,195.22.210.96
195.22.210.96,213.144.173.171
213.144.173.171,185.35.140.35
185.35.140.35,185.35.140.75
154.109.128.0,184.105.223.253
184.105.223.253,195.66.226.123
195.66.226.123,185.35.140.145
193.95.79.252,195.22.197.50
195.22.197.50,195.22.210.222
195.22.210.222,213.144.173.171
213.144.173.171,185.35.140.35
185.35.140.35,185.35.140.75
41.231.104.1,195.22.197.50
195.22.197.50,195.22.210.222
41.226.21.228,193.95.96.98
193.95.96.98,193.95.96.98
193.95.96.98,193.95.0.150
193.95.0.150,193.95.1.223
193.95.1.223,195.22.197.50
195.22.197.50,195.22.210.96
195.22.210.96,213.144.173.171
213.144.173.171,185.35.142.32
185.35.142.32,185.35.140.30
185.35.140.30,185.35.142.107
193.95.79.252,195.22.197.50
195.22.197.50,195.22.210.222
195.22.210.222,213.144.173.171
213.144.173.171,185.35.140.35
185.35.140.35,185.35.140.75
41.226.16.234,193.95.96.102
193.95.96.132,193.251.251.93
193.251.251.93,193.251.131.46
193.251.131.46,193.251.131.116
193.251.131.116,193.251.151.16
193.251.151.16,41.181.189.67
41.226.16.230,193.95.96.102
193.95.96.102,193.95.0.16
193.95.0.16,193.95.1.191
193.95.1.191,193.251.251.93
193.251.251.93,193.251.240.37
193.251.240.37,193.251.131.126
193.251.131.126,41.181.189.69
41.181.189.69,41.181.190.150
41.181.190.150,41.181.245.251
41.226.22.18,193.95.96.108
193.95.96.108,193.95.0.91
193.95.0.91,193.95.0.73
193.95.0.73,81.52.200.112
81.52.200.112,41.181.189.69
41.181.189.69,41.181.190.150
41.181.190.150,41.181.245.251
41.226.16.230,193.95.96.102
193.95.96.102,193.95.0.16
193.95.0.16,193.95.1.191
193.95.1.191,193.251.251.93
193.251.251.93,193.251.131.52
193.251.131.52,81.52.200.108
81.52.200.108,41.181.189.69
41.181.189.69,41.181.189.69
41.181.189.69,41.181.190.150
41.181.190.150,41.181.245.251
41.226.21.226,41.181.189.67
193.95.79.252,193.251.251.93
193.251.251.93,193.251.131.50
193.251.131.50,81.52.200.108
81.52.200.108,193.251.241.157
193.95.79.246,193.251.251.93
193.251.251.93,193.251.131.52
193.251.131.52,81.52.200.112
81.52.200.112,193.251.128.82
193.251.128.82,81.52.179.54
81.52.179.54,41.181.189.69
41.181.189.69,41.181.190.150
41.181.190.150,41.181.245.251
41.226.22.18,193.95.96.108
193.95.96.108,193.95.0.91
193.95.0.91,193.95.0.73
193.95.0.73,41.181.189.69
41.181.189.69,41.181.190.150
41.181.190.150,41.181.245.251
41.250.128.1,81.192.65.170
81.192.65.170,81.192.65.161
81.192.65.161,81.192.12.30
105.158.104.1,81.192.65.178
81.192.65.178,81.192.65.185
81.192.65.185,81.192.12.42
81.192.12.42,81.192.25.58
41.140.192.1,81.192.65.138
81.192.65.138,81.192.65.129
81.192.65.129,81.192.12.14
41.251.128.1,81.192.65.178
81.192.65.178,81.192.65.177
81.192.65.177,81.192.12.38
81.192.12.38,212.217.80.13
212.217.80.13,212.217.80.10
105.155.16.1,81.192.65.154
81.192.65.154,81.192.65.145
81.192.65.145,81.192.12.22
81.192.12.22,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
212.217.80.13,212.217.80.14
212.217.80.14,212.217.80.13
196.64.216.1,81.192.92.46
196.65.128.1,81.192.65.186
81.192.65.186,81.192.65.177
81.192.65.177,81.192.12.38
81.192.12.38,212.217.80.21
41.200.192.1,193.251.154.82
193.251.154.82,193.251.131.54
193.251.131.54,193.251.131.116
193.251.131.116,193.251.128.123
193.251.128.123,81.52.179.54
81.52.179.54,41.181.189.69
41.181.189.69,41.181.190.150
41.181.190.150,41.181.245.251
105.97.0.1,193.251.150.123
193.251.150.123,193.251.240.29
193.251.240.29,193.251.131.120
193.251.131.120,193.251.151.16
193.251.151.16,81.52.179.54
81.52.179.54,41.181.189.69
41.181.189.69,41.181.190.150
41.181.190.150,41.181.245.251
197.206.96.1,193.251.150.123
193.251.150.123,193.251.131.44
193.251.131.44,193.251.131.122
193.251.131.122,193.251.240.132
193.251.240.132,81.52.186.188
81.52.186.188,41.181.189.67
193.251.154.82,41.181.189.69
41.181.189.69,41.181.190.150
41.181.190.150,41.181.245.251
105.110.0.1,193.251.154.82
193.251.154.82,193.251.131.44
193.251.131.44,193.251.131.118
193.251.131.118,193.251.128.123
193.251.128.123,81.52.179.54
81.52.179.54,41.181.189.69
41.181.189.69,41.181.190.150
41.181.190.150,41.181.245.251
41.105.0.1,193.251.154.82
193.251.154.82,193.251.240.29
193.251.240.29,81.52.200.108
81.52.200.108,193.251.151.16
193.251.151.16,81.52.179.54
81.52.179.54,41.181.189.69
41.181.189.69,41.181.190.150
41.181.190.150,41.181.245.251
41.96.0.1,193.251.154.82
193.251.154.82,193.251.131.54
193.251.131.54,193.251.131.118
193.251.131.118,193.251.240.132
193.251.240.132,81.52.179.54
81.52.179.54,41.181.189.69
41.181.189.69,41.181.190.150
41.181.190.150,41.181.245.251
41.96.0.1,193.251.154.82
193.251.154.82,193.251.240.21
193.251.240.21,193.251.131.124
193.251.131.124,193.251.240.124
193.251.240.124,81.52.179.54
81.52.179.54,41.181.189.69
41.181.189.69,41.181.190.150
41.181.190.150,41.181.245.251
197.206.0.1,193.251.154.82
193.251.154.82,193.251.131.46
193.251.131.46,81.52.200.108
81.52.200.108,193.251.132.165
193.251.132.165,81.52.179.54
81.52.179.54,41.181.189.69
41.181.189.69,41.181.190.150
41.181.190.150,41.181.245.251
41.100.0.1,193.251.150.123
193.251.150.123,193.251.131.50
193.251.131.50,193.251.131.120
193.251.131.120,193.251.128.123
193.251.128.123,81.52.186.188
81.52.186.188,41.181.189.65
41.181.189.65,41.181.245.179
